time,y
1631157044.771,1
1631157071.108,1
1631157109.213,1
1631157116.759,1
1631157127.204,1
1631157152.665,1
1631157251.329,1
1631157255.548,1
1631157313.769,1
1631157346.217,1
1631157357.442,1
1631157379.325,1
1631157480.444,1
1631157491.107,1
1631157502.069,1
1631157549.441,1
1631157558.3,1
1631157589.763,1
1631157666.653,1
1631157700.9,1
1631157748.106,1
1631157749.982,1
1631157780.107,1
1631157809.328,1
1631157815.106,1
1631157835.106,1
1631157838.436,1
1631157848.886,1
1631157856.443,1
1631157856.443,1
1631157860.441,1
1631157867.443,1
1631157917.9,1
1631157929.776,1
1631157938.109,1
1631158006.095,1
1631158050.867,1
1631158126.77,1
1631158136.107,1
1631158154.885,1
1631158155.105,1
1631158194.106,1
1631158237.542,1
1631158248.325,1
1631158264.443,1
1631158324.44,1
1631158369.325,1
1631158401.622,1
1631158573.441,1
1631158580.443,1
1631158609.997,1
1631158671.665,1
1631158690.993,1
1631158712.772,1
1631158740.442,1
1631158780.22,1
1631158824.997,1
1631158954.647,1
1631158966.106,1
1631159010.075,1
1631159065.087,1
1631159124.308,1
1631159162.104,1
1631159174.963,1
1631159202.765,1
1631159234.752,1
1631159267.771,1
1631159280.886,1
1631159281.997,1
1631159326.211,1
1631159343.106,1
1631159481.107,1
1631159493.106,1
1631159531.444,1
1631159532.992,1
1631159543.432,1
1631159550.387,1
1631159803.441,1
1631159929.9,1
1631160145.219,1
1631160164.219,1
1631160270.219,1
1631160304.328,1
1631160377.883,1
1631160397.441,1
1631160674.442,1
1631160689.327,1
1631160855.441,1
1631160873.663,1
1631160951.997,1
1631160954.836,1
1631160956.546,1
1631160959.439,1
1631160961.542,1
1631161010.421,1
1631161034.654,1
1631161070.106,1
1631161080.415,1
1631161107.079,1
1631161160.441,1
1631161374.441,1
1631161452.546,1
1631161522.765,1
1631161554.445,1
1631161583.332,1
1631162096.442,1
1631162370.332,1
